Query-ID,Reference-ID,Mash-distance,P-value,Matching-hashes
Cac_KPL_3926,Cac_KPL_2783,0.0226815,0,4504/10000
Cps_DU080,Cac_KPL_2783,0.243761,2.96E-110,30/10000
Ctu_BWA150,Cac_KPL_2783,0.165549,0,157/10000
Cac_DU079,Cac_KPL_2783,0.0204722,0,4821/10000
Cps_KPL_3770,Cac_KPL_2783,0.235108,1.05E-134,36/10000
Cac_KPL_2783,Cac_KPL_2783,0,0,10000/10000
Cma_CCUG_32361,Cac_KPL_2783,0.106126,0,569/10000
Cpr_1274_CJEI,Cac_KPL_2783,0.276697,4.32E-51,15/10000
Cps_KPL_2915,Cac_KPL_2783,0.243761,4.40E-110,30/10000
Cpr_KPL_3967,Cac_KPL_2783,0.248764,1.71E-97,27/10000
Cps_KPL_3833,Cac_KPL_2783,0.216771,2.99E-206,53/10000
Cpr_KPL_2785,Cac_KPL_2783,0.247037,1.34E-101,28/10000
Cpr_KPL_4040,Cac_KPL_2783,0.256381,1.33E-81,23/10000
Cps_90104,Cac_KPL_2783,0.243761,4.87E-110,30/10000
Cpr_KPL_2811,Cac_KPL_2783,0.199098,0.00E+00,77/10000
Cac_KPL_3703,Cac_KPL_2783,0.0226305,0,4511/10000
Cac_KPL_4034,Cac_KPL_2783,0.0210181,0,4740/10000
Cma_NML_080212,Cac_KPL_2783,0.104343,0,592/10000
Cac_ATCC_49726,Cac_KPL_2783,0.0263356,0,4037/10000
Ctu_DSM_44922,Cac_KPL_2859,0.161822,0,170/10000
Cac_KPL_1996,Cac_KPL_2859,0.0206663,0,4792/10000
Cps_KPL_1989,Cac_KPL_2859,0.258493,2.73E-78,22/10000
Cac_KPL_1818,Cac_KPL_2859,0.0269391,0,3966/10000
Cps_BWA188,Cac_KPL_2859,0.26546,2.18E-66,19/10000
Cac_BWA270,Cac_KPL_2859,0.0281167,0,3832/10000
Cac_KPL_1824,Cac_KPL_2859,0.023056,0,4453/10000
Cps_BWA127,Cac_KPL_2859,0.254359,5.09E-86,24/10000
Cps_BWA223,Cac_KPL_2859,0.260703,2.52E-74,21/10000
Cps_BWA184,Cac_KPL_2859,0.260703,3.10E-74,21/10000
Cps_BWA300,Cac_KPL_2859,0.247037,7.36E-102,28/10000
Cac_BWA161,Cac_KPL_2859,0.0260348,0,4073/10000
Cps_BWA311,Cac_KPL_2859,0.25242,3.68E-90,25/10000
Cps_DSM_44287,Cac_KPL_2859,0.248764,2.85E-98,27/10000
Cps_BWA118,Cac_KPL_2859,0.25242,3.67E-90,25/10000
Cps_BWA198,Cac_KPL_2859,0.240698,3.49E-118,32/10000
Cps_HSID17576,Cac_KPL_2859,0.256381,3.02E-82,23/10000
Cac_DU075,Cac_KPL_2859,0.0273899,0,3914/10000
Cps_BWA141,Cac_KPL_2859,0.26546,1.44E-66,19/10000
Cps_BWA283,Cac_KPL_2859,0.260703,2.41E-74,21/10000
Cps_HSID17575,Cac_KPL_2859,0.254359,4.32E-86,24/10000
Cps_BWA238,Cac_KPL_2859,0.256381,3.71E-82,23/10000
Cps_BWA110,Cac_KPL_2859,0.26803,9.61E-63,18/10000
Cac_BWA070,Cac_KPL_2859,0.0241214,0,4312/10000
Cps_KPL_3966,Cac_KPL_2859,0.248764,6.33E-98,27/10000
Cps_KPL_4066,Cac_KPL_2859,0.248764,4.30E-98,27/10000
Cps_KPL_2826,Cac_KPL_2859,0.235108,7.86E-135,36/10000
Cps_BWA164,Cac_KPL_2859,0.248764,5.28E-98,27/10000
Cpr_BWA290,Cac_KPL_2859,0.258493,4.95E-78,22/10000
Cpr_BWA146,Cac_KPL_2859,0.273629,5.59E-55,16/10000
Cps_BWA166,Cac_KPL_2859,0.263022,2.09E-70,20/10000
Cac_DU076,Cac_KPL_2859,0.0228864,0,4476/10000
Cpr_KPL_2657,Cac_KPL_2859,0.260703,4.21E-74,21/10000
Cps_KPL_2795,Cac_KPL_2859,0.218593,4.49E-198,51/10000
Cpr_DSM_44285,Cac_KPL_2859,0.25242,8.20E-90,25/10000
Cps_BWA305,Cac_KPL_2859,0.258493,2.48E-78,22/10000
Cps_KPL_2667,Cac_KPL_2859,0.263022,1.60E-70,20/10000
Cps_KPL_4025,Cac_KPL_2859,0.23782,1.01E-126,34/10000
Cac_KPL_3674,Cac_KPL_2859,0.0240828,0,4317/10000
Cps_KPL_3702,Cac_KPL_2859,0.250557,3.36E-94,26/10000
Cac_KPL_4075,Cac_KPL_2859,0.0202137,0,4860/10000
Cpr_KPL_2654,Cac_KPL_2859,0.254359,1.12E-85,24/10000
Cac_KPL_3647,Cac_KPL_2859,0.021963,0,4604/10000
Cps_BWA172,Cac_KPL_2859,0.270747,8.33E-59,17/10000
Cpr_BWA124,Cac_KPL_2859,0.26546,2.14E-66,19/10000
Cac_BWA273,Cac_KPL_2859,0.0219772,0,4602/10000
Cpr_KPL_3953,Cac_KPL_2859,0.204284,6.46E-275,69/10000
Cps_BWA092,Cac_KPL_2859,0.247037,3.03E-102,28/10000
Cac_BWA121,Cac_KPL_2859,0.0281707,0,3826/10000
Cpr_DE0530,Cac_KPL_2859,0.218593,9.33E-197,51/10000
Cac_ATCC_49725,Cac_KPL_2859,0.0229748,0,4464/10000
Ctu_BWA195,Cac_KPL_2859,0.161547,0,171/10000
Cps_KPL_4041,Cac_KPL_2859,0.228939,1.98E-155,41/10000
Cac_KPL_3802,Cac_KPL_2859,0.0230117,0,4459/10000
Ctu_BWA207,Cac_KPL_2859,0.164662,0,160/10000
Ctu_DU074,Cac_KPL_2859,0.162098,0,169/10000
Cps_KPL_2621,Cac_KPL_2859,0.231311,3.48E-147,39/10000
Cpr_KPL_2804,Cac_KPL_2859,0.211692,1.73E-231,59/10000
Cac_KPL_2618,Cac_KPL_2859,0.0138535,0,5969/10000
Cac_KPL_2617,Cac_KPL_2859,0.022105,0,4584/10000
Cac_KPL_3774,Cac_KPL_2859,0.0204989,0,4817/10000
Ctu_SK141,Cac_KPL_2859,0.165549,0,157/10000
Cps_KPL_3671,Cac_KPL_2859,0.248764,2.99E-98,27/10000
Cpr_KPL_3672,Cac_KPL_2859,0.26803,1.49E-62,18/10000
Cac_BWA109,Cac_KPL_2859,0.024518,0,4261/10000
Ctu_BWA158,Cac_KPL_2859,0.164955,0,159/10000
Cac_KPL_2652,Cac_KPL_2859,0.0216254,0,4652/10000
Cac_KPL_4065,Cac_KPL_2859,0.0219347,0,4608/10000
Cpr_KPL_2755,Cac_KPL_2859,0.211692,3.25E-231,59/10000
Cac_KPL_3921,Cac_KPL_2859,0.0237385,0,4362/10000
Cps_KPL_2773,Cac_KPL_2859,0.218593,6.77E-198,51/10000
Cma_NML_120205,Cac_KPL_2859,0.105654,0,575/10000
Cps_KPL_4010,Cac_KPL_2859,0.242205,2.27E-114,31/10000
Cps_KPL_2640,Cac_KPL_2859,0.240698,3.96E-118,32/10000
Cpr_HSID18035,Cac_KPL_2859,0.217673,3.66E-201,52/10000
Cps_KPL_2865,Cac_KPL_2859,0.240698,2.17E-118,32/10000
Cac_KPL_2859,Cac_KPL_2859,0,0,10000/10000
Cac_BWA096,Cac_KPL_2859,0.0202071,0,4861/10000
Cps_KPL_2733,Cac_KPL_2859,0.248764,3.63E-98,27/10000
Cps_KPL_2834,Cac_KPL_2859,0.235108,1.32E-134,36/10000
Ctu_KPL_3807,Cac_KPL_2859,0.162937,0,166/10000
Cac_KPL_2641,Cac_KPL_2859,0.021196,0,4714/10000
Cac_KPL_2660,Cac_KPL_2859,0.0224855,0,4531/10000
Cpr_KPL_3675,Cac_KPL_2859,0.26803,1.92E-62,18/10000
Cac_KPL_3970,Cac_KPL_2859,0.0203459,0,4840/10000
Cac_KPL_3832,Cac_KPL_2859,0.0229306,0,4470/10000
Cpr_KPL_3889,Cac_KPL_2859,0.211692,3.14E-231,59/10000
Cps_KPL_3772,Cac_KPL_2859,0.245371,5.10E-106,29/10000
Cac_KPL_3926,Cac_KPL_2859,0.0242142,0,4300/10000
Cps_DU080,Cac_KPL_2859,0.245371,2.39E-106,29/10000
Ctu_BWA150,Cac_KPL_2859,0.162937,0,166/10000
Cac_DU079,Cac_KPL_2859,0.0224782,0,4532/10000
Cps_KPL_3770,Cac_KPL_2859,0.239237,1.56E-122,33/10000
Cac_KPL_2783,Cac_KPL_2859,0.0218499,0,4620/10000
Cma_CCUG_32361,Cac_KPL_2859,0.103219,0,607/10000
Cpr_1274_CJEI,Cac_KPL_2859,0.26803,1.60E-62,18/10000
Cps_KPL_2915,Cac_KPL_2859,0.245371,3.49E-106,29/10000
Cpr_KPL_3967,Cac_KPL_2859,0.26546,2.85E-66,19/10000
Cps_KPL_3833,Cac_KPL_2859,0.217673,3.23E-202,52/10000
Cpr_KPL_2785,Cac_KPL_2859,0.26546,2.40E-66,19/10000
Cpr_KPL_4040,Cac_KPL_2859,0.250557,1.48E-93,26/10000
Cps_90104,Cac_KPL_2859,0.25242,4.12E-90,25/10000
Cpr_KPL_2811,Cac_KPL_2859,0.202271,8.20E-288,72/10000
Cac_KPL_3703,Cac_KPL_2859,0.0219559,0,4605/10000
Cac_KPL_4034,Cac_KPL_2859,0.0204456,0,4825/10000
Cma_NML_080212,Cac_KPL_2859,0.102851,0,612/10000
Cac_ATCC_49726,Cac_KPL_2859,0.025894,0,4090/10000
Ctu_DSM_44922,Cac_KPL_3647,0.157362,0,187/10000
Cac_KPL_1996,Cac_KPL_3647,0.0195504,0,4962/10000
Cps_KPL_1989,Cac_KPL_3647,0.223483,2.07E-176,46/10000
Cac_KPL_1818,Cac_KPL_3647,0.0255084,0,4137/10000
Cps_BWA188,Cac_KPL_3647,0.224525,1.24E-171,45/10000
Cac_BWA270,Cac_KPL_3647,0.0253785,0,4153/10000
Cac_KPL_1824,Cac_KPL_3647,0.0203658,0,4837/10000
Cps_BWA127,Cac_KPL_3647,0.240698,5.57E-118,32/10000
Cps_BWA223,Cac_KPL_3647,0.247037,6.41E-102,28/10000
Cps_BWA184,Cac_KPL_3647,0.224525,7.17E-172,45/10000
Cps_BWA300,Cac_KPL_3647,0.215016,2.66E-214,55/10000
Cac_BWA161,Cac_KPL_3647,0.0245258,0,4260/10000
Cps_BWA311,Cac_KPL_3647,0.23782,2.15E-126,34/10000
Cps_DSM_44287,Cac_KPL_3647,0.227796,8.62E-160,42/10000
Cps_BWA118,Cac_KPL_3647,0.23782,2.14E-126,34/10000
Cps_BWA198,Cac_KPL_3647,0.223483,3.67E-176,46/10000
Cps_HSID17576,Cac_KPL_3647,0.224525,3.11E-172,45/10000
Cac_DU075,Cac_KPL_3647,0.0260764,0,4068/10000
Cps_BWA141,Cac_KPL_3647,0.235108,1.68E-134,36/10000
Cps_BWA283,Cac_KPL_3647,0.239237,3.25E-122,33/10000
Cps_HSID17575,Cac_KPL_3647,0.200976,8.91E-298,74/10000
Cps_BWA238,Cac_KPL_3647,0.221466,9.30E-185,48/10000
Cps_BWA110,Cac_KPL_3647,0.224525,4.06E-172,45/10000
Cac_BWA070,Cac_KPL_3647,0.0238222,0,4351/10000
Cps_KPL_3966,Cac_KPL_3647,0.220489,8.73E-189,49/10000
Cps_KPL_4066,Cac_KPL_3647,0.223483,2.34E-176,46/10000
Cps_KPL_2826,Cac_KPL_3647,0.220489,3.25E-189,49/10000
Cps_BWA164,Cac_KPL_3647,0.243761,6.33E-110,30/10000
Cpr_BWA290,Cac_KPL_3647,0.221466,2.53E-184,48/10000
Cpr_BWA146,Cac_KPL_3647,0.239237,6.42E-122,33/10000
Cps_BWA166,Cac_KPL_3647,0.22559,8.80E-168,44/10000
Cac_DU076,Cac_KPL_3647,0.0218147,0,4625/10000
Cpr_KPL_2657,Cac_KPL_3647,0.236445,5.26E-130,35/10000
Cps_KPL_2795,Cac_KPL_3647,0.200342,1.21E-302,75/10000
Cpr_DSM_44285,Cac_KPL_3647,0.22668,3.45E-163,43/10000
Cps_BWA305,Cac_KPL_3647,0.233808,8.52E-139,37/10000
Cps_KPL_2667,Cac_KPL_3647,0.248764,4.99E-98,27/10000
Cps_KPL_4025,Cac_KPL_3647,0.213325,8.55E-224,57/10000
Cac_KPL_3674,Cac_KPL_3647,0.0238375,0,4349/10000
Cps_KPL_3702,Cac_KPL_3647,0.233808,7.74E-139,37/10000
Cac_KPL_4075,Cac_KPL_3647,0.0193523,0,4993/10000
Cpr_KPL_2654,Cac_KPL_3647,0.243761,1.96E-109,30/10000
Cac_KPL_3647,Cac_KPL_3647,0,0,10000/10000
Cps_BWA172,Cac_KPL_3647,0.224525,8.27E-172,45/10000
Cpr_BWA124,Cac_KPL_3647,0.223483,7.18E-176,46/10000
Cac_BWA273,Cac_KPL_3647,0.0160697,0,5547/10000
Cpr_KPL_3953,Cac_KPL_3647,0.184014,0,106/10000
Cps_BWA092,Cac_KPL_3647,0.218593,7.04E-198,51/10000
Cac_BWA121,Cac_KPL_3647,0.027893,0,3857/10000
Cpr_DE0530,Cac_KPL_3647,0.192791,0,88/10000
Cac_ATCC_49725,Cac_KPL_3647,0.0216254,0,4652/10000
Ctu_BWA195,Cac_KPL_3647,0.157613,0,186/10000
Cps_KPL_4041,Cac_KPL_3647,0.227796,2.14E-159,42/10000
Cac_KPL_3802,Cac_KPL_3647,0.0209501,0,4750/10000
Ctu_BWA207,Cac_KPL_3647,0.160733,0,174/10000
Ctu_DU074,Cac_KPL_3647,0.156619,0,190/10000
Cps_KPL_2621,Cac_KPL_3647,0.22668,1.05E-163,43/10000
Cpr_KPL_2804,Cac_KPL_3647,0.183134,0,108/10000
Cac_KPL_2618,Cac_KPL_3647,0.0212923,0,4700/10000
Cac_KPL_2617,Cac_KPL_3647,0.0216184,0,4653/10000
Cac_KPL_3774,Cac_KPL_3647,0.0194097,0,4984/10000
Ctu_SK141,Cac_KPL_3647,0.16322,0,165/10000
Cps_KPL_3671,Cac_KPL_3647,0.231311,3.27E-147,39/10000
Cpr_KPL_3672,Cac_KPL_3647,0.254359,9.44E-86,24/10000
Cac_BWA109,Cac_KPL_3647,0.0243851,0,4278/10000
Ctu_BWA158,Cac_KPL_3647,0.159146,0,180/10000
Cac_KPL_2652,Cac_KPL_3647,0.0222838,0,4559/10000
Cac_KPL_4065,Cac_KPL_3647,0.020747,0,4780/10000
Cpr_KPL_2755,Cac_KPL_3647,0.187713,0,98/10000
Cac_KPL_3921,Cac_KPL_3647,0.0220623,0,4590/10000
Cps_KPL_2773,Cac_KPL_3647,0.213325,1.99E-223,57/10000
Cma_NML_120205,Cac_KPL_3647,0.107087,0,557/10000
Cps_KPL_4010,Cac_KPL_3647,0.22559,4.28E-168,44/10000
Cps_KPL_2640,Cac_KPL_3647,0.228939,4.46E-155,41/10000
Cpr_HSID18035,Cac_KPL_3647,0.185367,0,103/10000
Cps_KPL_2865,Cac_KPL_3647,0.224525,3.12E-172,45/10000
Cac_KPL_2859,Cac_KPL_3647,0.021963,0,4604/10000
Cac_BWA096,Cac_KPL_3647,0.0192761,0,5005/10000
Cps_KPL_2733,Cac_KPL_3647,0.235108,1.19E-134,36/10000
Cps_KPL_2834,Cac_KPL_3647,0.211692,7.23E-232,59/10000
Ctu_KPL_3807,Cac_KPL_3647,0.159407,0,179/10000
Cac_KPL_2641,Cac_KPL_3647,0.0191812,0,5020/10000
Cac_KPL_2660,Cac_KPL_3647,0.0211617,0,4719/10000
Cpr_KPL_3675,Cac_KPL_3647,0.224525,2.33E-171,45/10000
Cac_KPL_3970,Cac_KPL_3647,0.0192508,0,5009/10000
Cac_KPL_3832,Cac_KPL_3647,0.0224493,0,4536/10000
Cpr_KPL_3889,Cac_KPL_3647,0.182269,0,110/10000
Cps_KPL_3772,Cac_KPL_3647,0.224525,6.08E-172,45/10000
Cac_KPL_3926,Cac_KPL_3647,0.0223053,0,4556/10000
Cps_DU080,Cac_KPL_3647,0.231311,2.90E-147,39/10000
Ctu_BWA150,Cac_KPL_3647,0.162098,0,169/10000
Cac_DU079,Cac_KPL_3647,0.0197177,0,4936/10000
Cps_KPL_3770,Cac_KPL_3647,0.223483,1.54E-176,46/10000
Cac_KPL_2783,Cac_KPL_3647,0.0211411,0,4722/10000
Cma_CCUG_32361,Cac_KPL_3647,0.106524,0,564/10000
Cpr_1274_CJEI,Cac_KPL_3647,0.239237,8.28E-122,33/10000
Cps_KPL_2915,Cac_KPL_3647,0.227796,1.42E-159,42/10000
Cpr_KPL_3967,Cac_KPL_3647,0.23782,9.73E-126,34/10000
Cps_KPL_3833,Cac_KPL_3647,0.207109,2.69E-258,65/10000
Cpr_KPL_2785,Cac_KPL_3647,0.236445,5.75E-130,35/10000
Cpr_KPL_4040,Cac_KPL_3647,0.243761,2.13E-109,30/10000
Cps_90104,Cac_KPL_3647,0.236445,1.96E-130,35/10000
Cpr_KPL_2811,Cac_KPL_3647,0.183572,0,107/10000
Cac_KPL_3703,Cac_KPL_3647,0.0221335,0,4580/10000
Cac_KPL_4034,Cac_KPL_3647,0.0197306,0,4934/10000
Cma_NML_080212,Cac_KPL_3647,0.105187,0,581/10000
Cac_ATCC_49726,Cac_KPL_3647,0.0254028,0,4150/10000
Ctu_DSM_44922,Cac_KPL_3674,0.161547,0,171/10000
Cac_KPL_1996,Cac_KPL_3674,0.0237917,0,4355/10000
Cps_KPL_1989,Cac_KPL_3674,0.243761,3.73E-110,30/10000
Cac_KPL_1818,Cac_KPL_3674,0.0263861,0,4031/10000
Cps_BWA188,Cac_KPL_3674,0.247037,9.65E-102,28/10000
Cac_BWA270,Cac_KPL_3674,0.0274512,0,3907/10000
Cac_KPL_1824,Cac_KPL_3674,0.0228424,0,4482/10000
Cps_BWA127,Cac_KPL_3674,0.260703,3.35E-74,21/10000
Cps_BWA223,Cac_KPL_3674,0.26803,1.10E-62,18/10000
Cps_BWA184,Cac_KPL_3674,0.243761,5.99E-110,30/10000
Cps_BWA300,Cac_KPL_3674,0.243761,7.47E-110,30/10000
Cac_BWA161,Cac_KPL_3674,0.0258279,0,4098/10000
Cps_BWA311,Cac_KPL_3674,0.26546,1.35E-66,19/10000
Cps_DSM_44287,Cac_KPL_3674,0.247037,3.10E-102,28/10000
Cps_BWA118,Cac_KPL_3674,0.26546,1.35E-66,19/10000
Cps_BWA198,Cac_KPL_3674,0.258493,3.98E-78,22/10000
Cps_HSID17576,Cac_KPL_3674,0.242205,3.00E-114,31/10000
Cac_DU075,Cac_KPL_3674,0.0269993,0,3959/10000
Cps_BWA141,Cac_KPL_3674,0.263022,2.15E-70,20/10000
Cps_BWA283,Cac_KPL_3674,0.260703,2.67E-74,21/10000
Cps_HSID17575,Cac_KPL_3674,0.23782,2.33E-126,34/10000
Cps_BWA238,Cac_KPL_3674,0.239237,2.80E-122,33/10000
Cps_BWA110,Cac_KPL_3674,0.245371,4.54E-106,29/10000
Cac_BWA070,Cac_KPL_3674,0.000276192,0,9885/10000
Cps_KPL_3966,Cac_KPL_3674,0.235108,1.92E-134,36/10000
Cps_KPL_4066,Cac_KPL_3674,0.235108,1.15E-134,36/10000
Cps_KPL_2826,Cac_KPL_3674,0.242205,2.96E-114,31/10000
Cps_BWA164,Cac_KPL_3674,0.26546,1.71E-66,19/10000
Cpr_BWA290,Cac_KPL_3674,0.23782,4.53E-126,34/10000
Cpr_BWA146,Cac_KPL_3674,0.243761,7.69E-110,30/10000
Cps_BWA166,Cac_KPL_3674,0.243761,4.95E-110,30/10000
Cac_DU076,Cac_KPL_3674,0.0254434,0,4145/10000
Cpr_KPL_2657,Cac_KPL_3674,0.240698,7.29E-118,32/10000
Cps_KPL_2795,Cac_KPL_3674,0.221466,3.70E-185,48/10000
Cpr_DSM_44285,Cac_KPL_3674,0.23011,8.52E-151,40/10000
Cps_BWA305,Cac_KPL_3674,0.254359,3.64E-86,24/10000
Cps_KPL_2667,Cac_KPL_3674,0.26546,1.31E-66,19/10000
Cps_KPL_4025,Cac_KPL_3674,0.227796,6.54E-160,42/10000
Cac_KPL_3674,Cac_KPL_3674,0,0,10000/10000
Cps_KPL_3702,Cac_KPL_3674,0.260703,2.13E-74,21/10000
Cac_KPL_4075,Cac_KPL_3674,0.0233837,0,4409/10000
Cpr_KPL_2654,Cac_KPL_3674,0.26546,3.48E-66,19/10000
Cac_KPL_3647,Cac_KPL_3674,0.0238375,0,4349/10000
Cps_BWA172,Cac_KPL_3674,0.247037,7.52E-102,28/10000
Cpr_BWA124,Cac_KPL_3674,0.23782,4.48E-126,34/10000
Cac_BWA273,Cac_KPL_3674,0.0233163,0,4418/10000
Cpr_KPL_3953,Cac_KPL_3674,0.187235,0,99/10000
Cps_BWA092,Cac_KPL_3674,0.242205,2.49E-114,31/10000
Cac_BWA121,Cac_KPL_3674,0.0283876,0,3802/10000
Cpr_DE0530,Cac_KPL_3674,0.197292,3.95253e-323,80/10000
Cac_ATCC_49725,Cac_KPL_3674,0.0260847,0,4067/10000
Ctu_BWA195,Cac_KPL_3674,0.161547,0,171/10000
Cps_KPL_4041,Cac_KPL_3674,0.239237,3.02E-122,33/10000
Cac_KPL_3802,Cac_KPL_3674,0.0253218,0,4160/10000
Ctu_BWA207,Cac_KPL_3674,0.168318,0,148/10000
Ctu_DU074,Cac_KPL_3674,0.162098,0,169/10000
Cps_KPL_2621,Cac_KPL_3674,0.233808,8.47E-139,37/10000
Cpr_KPL_2804,Cac_KPL_3674,0.188197,0,97/10000
Cac_KPL_2618,Cac_KPL_3674,0.024471,0,4267/10000
Cac_KPL_2617,Cac_KPL_3674,0.0253623,0,4155/10000
Cac_KPL_3774,Cac_KPL_3674,0.0236702,0,4371/10000
Ctu_SK141,Cac_KPL_3674,0.16437,0,161/10000
Cps_KPL_3671,Cac_KPL_3674,0.254359,3.11E-86,24/10000
Cpr_KPL_3672,Cac_KPL_3674,0.256381,6.79E-82,23/10000
Cac_BWA109,Cac_KPL_3674,0.026555,0,4011/10000
Ctu_BWA158,Cac_KPL_3674,0.165251,0,158/10000
Cac_KPL_2652,Cac_KPL_3674,0.0247146,0,4236/10000
Cac_KPL_4065,Cac_KPL_3674,0.0251607,0,4180/10000
Cpr_KPL_2755,Cac_KPL_3674,0.191731,0,90/10000
Cac_KPL_3921,Cac_KPL_3674,0.0242219,0,4299/10000
Cps_KPL_2773,Cac_KPL_3674,0.220489,3.01E-189,49/10000
Cma_NML_120205,Cac_KPL_3674,0.106365,0,566/10000
Cps_KPL_4010,Cac_KPL_3674,0.243761,3.04E-110,30/10000
Cps_KPL_2640,Cac_KPL_3674,0.25242,6.58E-90,25/10000
Cpr_HSID18035,Cac_KPL_3674,0.190693,0,92/10000
Cps_KPL_2865,Cac_KPL_3674,0.245371,3.83E-106,29/10000
Cac_KPL_2859,Cac_KPL_3674,0.0240828,0,4317/10000
Cac_BWA096,Cac_KPL_3674,0.0233912,0,4408/10000
Cps_KPL_2733,Cac_KPL_3674,0.248764,4.13E-98,27/10000
Cps_KPL_2834,Cac_KPL_3674,0.221466,8.25E-185,48/10000
Ctu_KPL_3807,Cac_KPL_3674,0.16615,0,155/10000
Cac_KPL_2641,Cac_KPL_3674,0.0212923,0,4700/10000
Cac_KPL_2660,Cac_KPL_3674,0.0249765,0,4203/10000
Cpr_KPL_3675,Cac_KPL_3674,0.239237,8.99E-122,33/10000
Cac_KPL_3970,Cac_KPL_3674,0.0236096,0,4379/10000
Cac_KPL_3832,Cac_KPL_3674,0.0248969,0,4213/10000
Cpr_KPL_3889,Cac_KPL_3674,0.188197,0,97/10000
Cps_KPL_3772,Cac_KPL_3674,0.25242,5.93E-90,25/10000
Cac_KPL_3926,Cac_KPL_3674,0.0239445,0,4335/10000
Cps_DU080,Cac_KPL_3674,0.254359,2.89E-86,24/10000
Ctu_BWA150,Cac_KPL_3674,0.161003,0,173/10000
Cac_DU079,Cac_KPL_3674,0.0223268,0,4553/10000
Cps_KPL_3770,Cac_KPL_3674,0.243761,3.08E-110,30/10000
Cac_KPL_2783,Cac_KPL_3674,0.0250085,0,4199/10000
Cma_CCUG_32361,Cac_KPL_3674,0.105654,0,575/10000
Cpr_1274_CJEI,Cac_KPL_3674,0.240698,7.62E-118,32/10000
Cps_KPL_2915,Cac_KPL_3674,0.250557,4.45E-94,26/10000
Cpr_KPL_3967,Cac_KPL_3674,0.254359,1.11E-85,24/10000
Cps_KPL_3833,Cac_KPL_3674,0.219531,1.51E-193,50/10000
Cpr_KPL_2785,Cac_KPL_3674,0.248764,1.11E-97,27/10000
Cpr_KPL_4040,Cac_KPL_3674,0.258493,9.21E-78,22/10000
Cps_90104,Cac_KPL_3674,0.25242,4.65E-90,25/10000
Cpr_KPL_2811,Cac_KPL_3674,0.185827,0,102/10000
Cac_KPL_3703,Cac_KPL_3674,0.0227984,0,4488/10000
Cac_KPL_4034,Cac_KPL_3674,0.0242529,0,4295/10000
Cma_NML_080212,Cac_KPL_3674,0.104878,0,585/10000
Cac_ATCC_49726,Cac_KPL_3674,0.0278574,0,3861/10000
Ctu_DSM_44922,Cac_KPL_3703,0.156373,0,191/10000
Cac_KPL_1996,Cac_KPL_3703,0.0227838,0,4490/10000
Cps_KPL_1989,Cac_KPL_3703,0.25242,4.35E-90,25/10000
Cac_KPL_1818,Cac_KPL_3703,0.0254028,0,4150/10000
Cps_BWA188,Cac_KPL_3703,0.250557,9.35E-94,26/10000
Cac_BWA270,Cac_KPL_3703,0.0269993,0,3959/10000
Cac_KPL_1824,Cac_KPL_3703,0.0232417,0,4428/10000
Cps_BWA127,Cac_KPL_3703,0.250557,6.62E-94,26/10000
Cps_BWA223,Cac_KPL_3703,0.250557,5.28E-94,26/10000
Cps_BWA184,Cac_KPL_3703,0.247037,6.84E-102,28/10000
Cps_BWA300,Cac_KPL_3703,0.247037,8.41E-102,28/10000
Cac_BWA161,Cac_KPL_3703,0.0253138,0,4161/10000
Cps_BWA311,Cac_KPL_3703,0.250557,4.29E-94,26/10000
Cps_DSM_44287,Cac_KPL_3703,0.243761,2.53E-110,30/10000
Cps_BWA118,Cac_KPL_3703,0.250557,4.28E-94,26/10000
Cps_BWA198,Cac_KPL_3703,0.248764,6.34E-98,27/10000
Cps_HSID17576,Cac_KPL_3703,0.25242,4.08E-90,25/10000
Cac_DU075,Cac_KPL_3703,0.0272939,0,3925/10000
Cps_BWA141,Cac_KPL_3703,0.250557,5.28E-94,26/10000
Cps_BWA283,Cac_KPL_3703,0.256381,3.88E-82,23/10000
Cps_HSID17575,Cac_KPL_3703,0.243761,4.66E-110,30/10000
Cps_BWA238,Cac_KPL_3703,0.250557,5.36E-94,26/10000
Cps_BWA110,Cac_KPL_3703,0.254359,4.34E-86,24/10000
Cac_BWA070,Cac_KPL_3703,0.0228277,0,4484/10000
Cps_KPL_3966,Cac_KPL_3703,0.242205,5.47E-114,31/10000
Cps_KPL_4066,Cac_KPL_3703,0.25242,4.65E-90,25/10000
Cps_KPL_2826,Cac_KPL_3703,0.231311,3.32E-147,39/10000
Cps_BWA164,Cac_KPL_3703,0.26546,1.71E-66,19/10000
Cpr_BWA290,Cac_KPL_3703,0.240698,6.52E-118,32/10000
Cpr_BWA146,Cac_KPL_3703,0.26546,2.22E-66,19/10000
Cps_BWA166,Cac_KPL_3703,0.254359,5.04E-86,24/10000
Cac_DU076,Cac_KPL_3703,0.0231896,0,4435/10000
Cpr_KPL_2657,Cac_KPL_3703,0.263022,3.50E-70,20/10000
Cps_KPL_2795,Cac_KPL_3703,0.223483,1.14E-176,46/10000
Cpr_DSM_44285,Cac_KPL_3703,0.245371,9.83E-106,29/10000
Cps_BWA305,Cac_KPL_3703,0.248764,4.04E-98,27/10000
Cps_KPL_2667,Cac_KPL_3703,0.263022,1.75E-70,20/10000
Cps_KPL_4025,Cac_KPL_3703,0.23782,1.19E-126,34/10000
Cac_KPL_3674,Cac_KPL_3703,0.0227984,0,4488/10000
Cps_KPL_3702,Cac_KPL_3703,0.245371,3.35E-106,29/10000
